theta0,phi0,mtheta0,mphi0,omega_theta,omega_phi,drift_theta,drift_phi
0.0,0.05,0.2053062498024143,1.9895159621832152,2.196662320485652,4.3538072765633204,1.5312516021867127e-09,1.7359731197826043e-07
0.0,0.05,0.2167121525692151,1.4251905541452596,2.197768610479438,4.353825140529383,7.785378148621254e-10,2.9809541438951497e-07
0.0,0.07367993877991494,0.0,4.539030549892989,0.0,2.1768275276201443,0.0,5.701249550130718e-10
0.0,0.07367993877991494,0.01670664908199838,4.5333532111484205,2.178436137807078,4.353656783013231,1.3335534847082396e-07,2.7387971945162013e-07
0.0,0.07367993877991494,0.03341329816399676,4.516278373786677,2.1800466369065368,4.353659567580715,1.7245060176173884e-07,1.7283136061922188e-07
0.0,0.07367993877991494,0.050119947245995146,4.487675943110472,2.1816569677275015,4.353664588807171,1.6247077050119192e-07,1.7366467915245205e-07
0.0,0.07367993877991494,0.06682659632799352,4.447323509656946,2.1832672022220816,4.353671622236471,2.2421543274902776e-10,1.73891319591914e-07
0.0,0.07367993877991494,0.0835332454099919,4.3948974319155605,2.1848796434933675,4.353680667583677,1.8196485577201328e-10,1.7541596459238066e-07
0.0,0.07367993877991494,0.10023989449199029,4.329959177972038,2.186493100657774,4.353691719094497,2.452609125489045e-08,1.7276355043554628e-07
0.0,0.07367993877991494,0.11694654357398866,4.251935504812635,2.1881075916686914,4.353704779586579,1.2634910156197008e-09,1.7421798298446862e-07
0.0,0.07367993877991494,0.13365319265598705,4.160090215320331,2.189723000145752,4.353719850044126,1.5266716878501047e-10,1.7439399253418375e-07
0.0,0.07367993877991494,0.15035984173798542,4.053483892956444,2.1913383916637863,4.353736931890771,1.6374169942561728e-07,1.7355090829645248e-07
0.0,0.07367993877991494,0.1670664908199838,3.930915764760979,2.1929556486127404,4.353756019504449,1.7198517327537518e-07,1.7483585119989764e-07
0.0,0.07367993877991494,0.18377313990198219,3.790837880623642,2.1945749976608773,4.353777118549572,1.4068131824984005e-10,1.7447168689315733e-07
